FileName,efConstruction,M,efSearch,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts
vdb_random-100-match-kw-small-vocab-no-filters,20,4,100,0.0,0,0.058519999999999996,0.00229250555858016,80000,22925055
vdb_random-100-match-kw-small-vocab-no-filters,20,4,200,0.0,0,0.125,0.002754267922136931,80000,27542679
vdb_random-100-match-kw-small-vocab-no-filters,20,4,400,0.0,0,0.12320999999999999,0.003043056477326899,80000,30430564
vdb_random-100-match-kw-small-vocab-no-filters,20,4,600,0.0,0,0.15091000000000002,0.003483408445026725,80000,34834084
vdb_random-100-match-kw-small-vocab-no-filters,20,8,100,0.0,0,0.11262,0.002497976575978099,160000,24979765
vdb_random-100-match-kw-small-vocab-no-filters,20,8,200,0.0,0,0.15875999999999998,0.0028634857502765937,160000,28634857
vdb_random-100-match-kw-small-vocab-no-filters,20,8,400,0.0,0,0.22511000000000003,0.003550617431756108,160000,35506174
vdb_random-100-match-kw-small-vocab-no-filters,20,8,600,0.0,0,0.27394,0.004298276000190526,160000,42982760
vdb_random-100-match-kw-small-vocab-no-filters,20,16,100,0.0,0,0.40996000000000005,0.00514218421885743,320000,51421842
vdb_random-100-match-kw-small-vocab-no-filters,20,16,200,0.0,0,0.31801,0.003888178151100874,320000,38881781
vdb_random-100-match-kw-small-vocab-no-filters,20,16,400,0.0,0,0.45892,0.0065634298138320425,320000,65634298
vdb_random-100-match-kw-small-vocab-no-filters,20,16,600,0.0,0,0.6580299999999999,0.008643763046711682,320000,86437630
vdb_random-100-match-kw-small-vocab-no-filters,40,4,100,0.0,0,0.17574,0.0035311388550326194,160000,35311388
vdb_random-100-match-kw-small-vocab-no-filters,40,4,200,0.0,0,0.09886,0.002583699964452535,160000,25836999
vdb_random-100-match-kw-small-vocab-no-filters,40,4,400,0.0,0,0.16885999999999998,0.003183850832283496,160000,31838508
vdb_random-100-match-kw-small-vocab-no-filters,40,4,600,0.0,0,0.17204,0.003441981482319534,160000,34419814
vdb_random-100-match-kw-small-vocab-no-filters,40,8,100,0.0,0,0.13865999999999998,0.0024516023695468903,320000,24516023
vdb_random-100-match-kw-small-vocab-no-filters,40,8,200,0.0,0,0.19364,0.0029548226972110564,320000,29548226
vdb_random-100-match-kw-small-vocab-no-filters,40,8,400,0.0,0,0.27022,0.003666244691703468,320000,36662446
vdb_random-100-match-kw-small-vocab-no-filters,40,8,600,0.0,0,0.3222,0.0047692800289951265,320000,47692800
vdb_random-100-match-kw-small-vocab-no-filters,40,16,100,0.0,0,0.22855,0.0028681405936367807,640000,28681405
vdb_random-100-match-kw-small-vocab-no-filters,40,16,200,0.0,0,0.3127,0.003837404050864279,640000,38374040
vdb_random-100-match-kw-small-vocab-no-filters,40,16,400,0.0,0,0.41877999999999993,0.005102748633362352,640000,51027486
vdb_random-100-match-kw-small-vocab-no-filters,40,16,600,0.0,0,0.48665,0.005714074685238301,640000,57140746
vdb_random-100-match-kw-small-vocab-no-filters,40,32,100,0.0,0,0.62138,0.015019101346842941,1280000,150191013
vdb_random-100-match-kw-small-vocab-no-filters,40,32,200,0.0,0,0.7616700000000001,0.018907886487431823,1280000,189078864
vdb_random-100-match-kw-small-vocab-no-filters,40,32,400,0.0,0,0.8655900000000002,0.026308452279772607,1280000,263084522
vdb_random-100-match-kw-small-vocab-no-filters,40,32,600,0.0,0,0.9101600000000002,0.032933225494343785,1280000,329332254
vdb_random-100-match-kw-small-vocab-no-filters,80,4,100,0.0,0,0.07539000000000001,0.002289577538613229,320000,22895775
vdb_random-100-match-kw-small-vocab-no-filters,80,4,200,0.0,0,0.1648,0.0030216111801564622,320000,30216111
vdb_random-100-match-kw-small-vocab-no-filters,80,4,400,0.0,0,0.15745,0.002957511506974697,320000,29575115
vdb_random-100-match-kw-small-vocab-no-filters,80,4,600,0.0,0,0.19109,0.003466346487402915,320000,34663464
vdb_random-100-match-kw-small-vocab-no-filters,80,8,100,0.0,0,0.15629,0.002484818024095146,640000,24848180
vdb_random-100-match-kw-small-vocab-no-filters,80,8,200,0.0,0,0.22133000000000003,0.002920808072667568,640000,29208080
vdb_random-100-match-kw-small-vocab-no-filters,80,8,400,0.0,0,0.30306000000000005,0.0035151824704371384,640000,35151824
vdb_random-100-match-kw-small-vocab-no-filters,80,8,600,0.0,0,0.35529,0.004315018176566807,640000,43150181
vdb_random-100-match-kw-small-vocab-no-filters,80,16,100,0.0,0,0.51725,0.005262409849092361,1280000,52624098
vdb_random-100-match-kw-small-vocab-no-filters,80,16,200,0.0,0,0.6472899999999999,0.005407750641461455,1280000,54077506
vdb_random-100-match-kw-small-vocab-no-filters,80,16,400,0.0,0,0.76746,0.007049166515935211,1280000,70491665
vdb_random-100-match-kw-small-vocab-no-filters,80,16,600,0.0,0,0.82411,0.009572095575276761,1280000,95720955
vdb_random-100-match-kw-small-vocab-no-filters,80,32,100,0.0,0,0.65962,0.0212609552196227,2560000,212609552
vdb_random-100-match-kw-small-vocab-no-filters,80,32,200,0.0,0,0.79606,0.038406578730791806,2560000,384065787
vdb_random-100-match-kw-small-vocab-no-filters,80,32,400,0.0,0,0.8904400000000001,0.05166351314401251,2560000,516635131
vdb_random-100-match-kw-small-vocab-no-filters,80,32,600,0.0,0,0.92865,0.06523696241201833,2560000,652369624
vdb_random-100-match-kw-small-vocab-no-filters,120,4,100,0.0,0,0.07927000000000001,0.0021590314689092335,480000,21590314
