FileName,index_type,M,efConstruction,ef,nlist,nprobe,m,nbits,reorder_k,dataCoord*segment*maxSize,queryCoord*autoHandoff,queryCoord*autoBalance,common*gracefulTime,dataNode*segment*insertBufSize,rootCoord*minSegmentSizeToEnableIndex,dataCoord*segment*sealProportion,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts
vdb_glove-100-angular,AUTOINDEX,14,478,146,2608,57,8,1,323,671,False,False,52631,8870443209,7284,85,0.0,0,0.847851,0.003980823559686527,1087894,39808235
vdb_glove-100-angular,IVF_SQ8,33,436,477,6523,29,32,3,726,7542,False,True,74047,4778292900,1890,37,0.0,0,0.9822270000000001,0.02104509666096419,4115874,210450966
vdb_glove-100-angular,FLAT,53,153,172,3280,73,1,6,192,6837,True,True,47981,655489024,5418,39,0.0,0,0.999999,0.050694109825417395,1087894,506941098
vdb_glove-100-angular,AUTOINDEX,36,285,903,536,81,2,10,951,5422,False,True,63495,9453822314,9590,67,0.0,0,0.8432990000000001,0.003990419628098606,1087894,39904196
vdb_glove-100-angular,HNSW,47,134,361,1053,13,1,6,961,6740,True,True,17500,9168345292,9140,59,0.0,0,0.967018,0.005847424827516077,6851558,58474248
vdb_glove-100-angular,AUTOINDEX,25,124,876,3561,17,2,9,611,4784,False,True,58455,9594047488,716,99,0.0,0,0.847511,0.004064555652439586,1087894,40645556
vdb_glove-100-angular,IVF_FLAT,13,411,909,3208,66,1,4,999,8595,True,True,49348,9245243569,5821,77,0.0,0,0.9996650000000001,0.026887633651494977,4606753,268876336
vdb_glove-100-angular,IVF_SQ8,52,29,319,9723,26,4,2,195,9640,False,True,79594,238765999,2200,35,0.0,0,0.9595520000000001,0.024825502512976525,5500350,248255025
vdb_glove-100-angular,AUTOINDEX,35,232,661,2269,51,16,7,672,3933,True,True,29384,3158773917,147,96,0.0,0,0.8525400000000002,0.003685830999165772,1087894,36858309
vdb_glove-100-angular,HNSW,22,314,233,6854,49,8,3,813,1356,False,True,55612,6658351778,5246,5,0.0,0,0.9372900000000002,0.004497917671687901,7515173,44979176
vdb_glove-100-angular,IVF_FLAT,7,317,242,2994,82,128,4,637,5335,False,False,93051,6655160226,3295,8,0.0,0,0.9332940000000001,0.028774028853513295,5341735,287740288
vdb_glove-100-angular,IVF_SQ8,43,339,334,6296,72,2,2,683,8008,True,True,48533,2879344561,8132,38,0.0,0,0.9848880000000001,0.053478801320306954,9863110,534788013
vdb_glove-100-angular,HNSW,58,164,822,627,11,8,7,641,4810,False,True,21428,7444426115,9782,14,0.0,0,0.9938690000000002,0.009287536307238041,10348050,92875363
vdb_glove-100-angular,AUTOINDEX,41,221,751,7390,64,2,1,184,1290,False,True,3689,8066278733,5147,41,0.0,0,0.8463309999999999,0.004018033156171438,1087894,40180331
vdb_glove-100-angular,HNSW,37,50,357,1702,67,2,4,318,5235,False,True,86652,2401881161,4572,36,0.0,0,0.954966,0.0056603641482070085,2012604,56603641
vdb_glove-100-angular,AUTOINDEX,52,443,552,5348,94,2,6,752,7663,True,True,51820,9717447158,5045,7,0.0,0,0.8437110000000001,0.004215063969604648,1087894,42150639
vdb_glove-100-angular,HNSW,14,154,314,4783,22,8,10,545,8186,False,False,58397,4524664167,6685,14,0.0,0,0.9098430000000001,0.004269069246947765,2345500,42690692
vdb_glove-100-angular,AUTOINDEX,12,183,412,3482,98,8,8,592,9343,False,False,52763,8738285768,4074,25,0.0,0,0.840448,0.0035228564869612448,1087894,35228564
vdb_glove-100-angular,SCANN,46,272,799,1729,67,16,3,746,6156,False,False,6027,2642848938,8426,53,0.0,0,0.996326,0.0051115125883370634,8115,51115125
vdb_glove-100-angular,AUTOINDEX,62,309,272,4254,14,64,8,267,4750,False,False,67566,3146454165,2288,11,0.0,0,0.8427100000000001,0.0037287482060492034,1087894,37287482
vdb_glove-100-angular,FLAT,32,102,163,3672,27,2,9,875,7920,False,True,73937,7627659887,3011,44,0.0,0,0.999999,0.041801726818084715,1087894,418017268
vdb_glove-100-angular,SCANN,10,361,874,8317,89,64,4,918,6162,True,False,95509,2399262363,1772,70,0.0,0,0.964409,0.005241564288735389,9986,52415642
vdb_glove-100-angular,FLAT,28,94,442,7035,78,1,6,819,9797,True,True,74573,5857757831,1647,77,0.0,0,0.999999,0.04963523910846561,1087894,496352391
vdb_glove-100-angular,SCANN,16,156,858,7529,63,8,6,817,8694,False,True,92481,6840497906,5921,32,0.0,0,0.997027,0.005274997092783449,8888,52749970
vdb_glove-100-angular,IVF_FLAT,30,14,547,9220,41,64,9,419,9356,True,True,59684,5373225701,5978,76,0.0,0,0.999434,0.024189471383579072,8224916,241894713
vdb_glove-100-angular,AUTOINDEX,53,285,130,9768,18,2,5,644,1472,True,False,68392,1657138009,1407,89,0.0,0,0.8468630000000001,0.003937257430516182,1087894,39372574
vdb_glove-100-angular,IVF_FLAT,45,50,706,1198,14,2,1,486,721,True,True,71218,740973457,8209,16,0.0,0,0.9570460000000001,0.00856916361954063,364923,85691636
vdb_glove-100-angular,HNSW,46,227,175,1766,87,8,2,742,6063,False,False,17341,2256710239,974,58,0.0,0,0.946434,0.004547119769267734,11359792,45471197
vdb_glove-100-angular,IVF_PQ,35,336,350,1492,3,2,5,811,3919,False,True,73214,2744711084,5921,63,0.0,0,0.08538000000000001,0.0033285547513514733,97388,33285547
vdb_glove-100-angular,IVF_SQ8,64,483,170,3827,63,16,2,563,8663,True,True,58563,7639087938,4070,72,0.0,0,0.9845310000000002,0.046764953550882636,5245848,467649535
vdb_glove-100-angular,AUTOINDEX,51,327,143,6071,85,32,10,120,7449,True,True,27166,9788774527,9694,41,0.0,0,0.784386,0.0029843969969078894,1087894,29843969
vdb_glove-100-angular,HNSW,19,353,528,6049,54,4,8,192,8840,False,False,10203,1015579329,1395,64,0.0,0,0.9088459999999999,0.005960813001729548,7296507,59608130
vdb_glove-100-angular,HNSW,31,136,318,8231,57,2,5,318,2907,True,False,65286,2358045751,4459,96,0.0,0,0.9537110000000001,0.0054344762116670595,4586562,54344762
vdb_glove-100-angular,IVF_FLAT,5,219,598,6288,76,1,9,306,9031,True,False,39516,6353776115,5867,5,0.0,0,0.9999470000000001,0.029916227236390112,10397832,299162272
vdb_glove-100-angular,IVF_SQ8,64,459,914,6934,29,4,3,174,1346,False,False,4304,7775717077,7724,83,0.0,0,0.9823729999999999,0.02124877427704632,4375206,212487742
vdb_glove-100-angular,SCANN,6,410,614,7165,95,1,1,259,3823,True,False,94198,291481116,2555,53,0.0,0,0.966775,0.0049364412901923005,2817,49364412
vdb_glove-100-angular,AUTOINDEX,48,255,210,6451,97,4,9,843,3300,False,True,9799,4719142297,2240,20,0.0,0,0.8453310000000002,0.004151448723860082,1087894,41514487
vdb_glove-100-angular,AUTOINDEX,49,355,900,3695,94,1,5,801,9283,False,True,17951,9214193848,2693,42,0.0,0,0.846403,0.00368652602192014,1087894,36865260
vdb_glove-100-angular,FLAT,39,373,783,4599,21,1,6,585,2204,False,True,64921,9969745268,8266,34,0.0,0,0.999999,0.04207604012917727,1087894,420760401
vdb_glove-100-angular,IVF_FLAT,44,488,391,9335,74,64,5,589,668,False,True,28893,5604039179,7168,82,0.0,0,0.999991,0.03335977457463741,15030130,333597745
vdb_glove-100-angular,AUTOINDEX,24,118,528,861,91,128,7,774,9165,False,True,92338,3020397689,4844,4,0.0,0,0.843959,0.00407230721320957,1087894,40723072
vdb_glove-100-angular,FLAT,63,362,687,7792,47,2,3,749,2302,True,True,24453,6907477160,9732,97,0.0,0,0.999999,0.04258898454718292,1087894,425889845
vdb_glove-100-angular,FLAT,48,195,986,3057,33,4,3,747,4414,False,True,25768,6422703374,4809,70,0.0,0,0.999999,0.04204110335558652,1087894,420411033
vdb_glove-100-angular,IVF_SQ8,21,277,485,5828,67,8,2,144,1862,True,True,45704,8714586409,4868,40,0.0,0,0.984977,0.04996941382996738,8495932,499694138
vdb_glove-100-angular,SCANN,60,506,902,4118,73,64,9,610,6743,False,False,50675,5646038838,8958,76,0.0,0,0.9937520000000001,0.005086696776561438,6636,50866967
vdb_glove-100-angular,FLAT,22,295,347,3171,68,1,8,697,4661,False,False,99204,579366781,8320,50,0.0,0,0.999999,0.04216867829672992,1087894,421686782
vdb_glove-100-angular,IVF_FLAT,61,129,629,3966,14,8,6,339,8404,False,False,38135,4745276384,2893,73,0.0,0,0.973914,0.009452983574010431,1208084,94529835
vdb_glove-100-angular,HNSW,38,41,937,1826,67,1,1,976,858,False,True,85546,2790672881,4885,53,0.0,0,0.983302,0.00870371558703482,1694939,87037155
vdb_glove-100-angular,AUTOINDEX,17,262,880,4148,53,4,3,636,9147,False,False,6962,6524753036,5689,53,0.0,0,0.846096,0.003952746093273156,1087894,39527460
vdb_glove-100-angular,HNSW,58,335,688,7202,33,1,3,988,7101,False,True,46197,6520384152,1859,22,0.0,0,0.9968819999999999,0.009766248008236287,21137786,97662480
vdb_glove-100-angular,SCANN,23,468,208,5471,60,4,8,919,7572,True,True,26404,2516206595,8514,62,0.0,0,0.9977140000000001,0.005353868496604263,9997,53538684
vdb_glove-100-angular,FLAT,5,137,595,2086,18,128,6,373,6077,False,False,98399,2460208633,5755,48,0.0,0,0.999999,0.042054677638225256,1087894,420546776
vdb_glove-100-angular,IVF_SQ8,44,233,599,4941,55,8,7,876,5879,True,False,59707,7700514087,2014,39,0.0,0,0.98454,0.042213433585129675,5912814,422134335
vdb_glove-100-angular,HNSW,22,440,427,8871,33,128,6,762,7447,False,False,43741,4854018196,1662,44,0.0,0,0.971707,0.005593758868053554,10530816,55937588
vdb_glove-100-angular,IVF_SQ8,33,450,398,1495,8,8,1,937,3046,False,True,27226,7043126249,2709,92,0.0,0,0.9210220000000001,0.009709385549649594,260224,97093855
